timestamp,latitude,longitude,altitude
1578093252.998,24.39542113182958,123.75370055020527,1.633577823638916
1578093254.288,24.39542316528099,123.7536991596929,1.790880560874939
1578093258.95,24.395429708830726,123.75369460588774,2.2705929279327393
1578093259.95,24.395430923883048,123.75369373928504,2.3528404235839844
1578093260.95,24.395432103254876,123.75369289357545,2.4312832355499268
1578093261.95,24.39543324166501,123.75369207226888,2.505249261856079
1578093262.95,24.39543433406026,123.75369127881012,2.5740573406219482
1578093263.95,24.395435375414017,123.75369051663222,2.637037754058838
1578093264.943,24.395436354120466,123.75368979406085,2.6931803226470947
1578093265.943,24.395437278778,123.7536891044479,2.7426226139068604
1578093267.842,24.395438730474165,123.75368798958031,2.800841808319092
1578093268.185,24.395438947162404,123.75368781751992,2.806013822555542
1578093270.001,24.395439857647286,123.75368706810602,2.8035972118377686
1578093271.001,24.39544019579216,123.75368676804511,2.7811789512634277
1578093272.001,24.395440460795793,123.75368652075142,2.7481608390808105
1578093273.001,24.39544065657986,123.75368632471508,2.704312324523926
1578093274.001,24.395440788589216,123.75368617703501,2.649678945541382
1578093275.001,24.395440863992302,123.75368607279253,2.5845961570739746
1578093276.001,24.395440893246445,123.75368600433188,2.5097408294677734
1578093277.001,24.395440891966054,123.75368596091513,2.426185369491577
1578093278.001,24.395440881403594,123.75368592865009,2.33540940284729
1578093279.001,24.39544088714554,123.7536858905028,2.2392256259918213
1578093280.001,24.395440936702137,123.75368582646716,2.1395840644836426
1578093281.001,24.39544105702187,123.75368571430447,2.0383691787719727
1578093282.001,24.395441272228506,123.75368553079082,1.9373061656951904
1578093283.0,24.395441601150793,123.75368525366385,1.8380022048950195
1578093284.0,24.39544205774586,123.7536848617433,1.7414405345916748
1578093285.0,24.395442648576044,123.75368433724371,1.648460030555725
1578093286.0,24.39544337338565,123.75368366479175,1.559309720993042
1578093287.0,24.395444224973975,123.75368283121888,1.4737672805786133
1578093288.0,24.39544519014354,123.75368182563348,1.3912436962127686
1578093289.0,24.395446250879726,123.75368064015237,1.3109625577926636
1578093290.0,24.395447385412375,123.75367927065933,1.2321431636810303
1578093291.0,24.395448569845676,123.75367771713503,1.1541731357574463
1578093292.0,24.3954497795864,123.75367598381,1.076670527458191
1578093293.0,24.395450989862006,123.75367407924145,0.9994324445724487
1578093294.0,24.39545217685632,123.75367201608815,0.9223739504814148
1578093295.0,24.395453319455306,123.7536698106148,0.8455326557159424
1578093296.0,24.395454400805,123.75366748216574,0.7691519260406494
1578093297.0,24.395455409368424,123.7536650529666,0.693750262260437
1578093298.0,24.39545633843713,123.75366254847006,0.6201283931732178
1578093299.0,24.39545718444961,123.75365999821612,0.5493641495704651
1578093300.0,24.39545794549309,123.75365743574298,0.4827309548854828
1578093301.0,24.395458620643897,123.75365489637446,0.4214920401573181
1578093302.0,24.39545920942893,123.7536524143319,0.3666698932647705
1578093303.0,24.395459711475635,123.75365002076937,0.31886470317840576
1578093304.0,24.39546012678142,123.75364774269278,0.27826523780822754
1578093305.0,24.395460455684226,123.75364560256368,0.24484317004680634
1578093306.0,24.395460698789282,123.75364361825068,0.21851572394371033
1578093307.0,24.39546085734083,123.75364180274424,0.19920028746128082
1578093308.0,24.395460933619333,123.75364016405591,0.18684013187885284
1578093309.0,24.39546093119059,123.7536387055469,0.1814417690038681
1578093310.0,24.395460855026275,123.7536374264017,0.183089017868042
1578093311.0,24.395460711408642,123.75363632233022,0.19193576276302338
1578093312.0,24.39546050766137,123.75363538650798,0.20821721851825714
1578093313.0,24.39546025194204,123.75363461038509,0.23226848244667053
1578093314.0,24.39545995306991,123.75363398401296,0.2644742727279663
1578093315.0,24.395459620361876,123.7536334959376,0.3051486611366272
1578093316.0,24.39545926359899,123.7536331329434,0.35440200567245483
1578093317.0,24.395458892932677,123.75363287962402,0.41202622652053833
1578093318.0,24.395458518743496,123.7536327179821,0.4774424433708191
1578093319.0,24.395458151764835,123.75363262750496,0.5497204661369324
1578093320.0,24.395457803376036,123.75363258559395,0.6276599168777466
1578093321.0,24.395457485269485,123.75363256869453,0.7099348902702332
1578093322.0,24.39545720861954,123.7536325544335,0.7952156066894531
1578093323.0,24.395456983280862,123.7536325237471,0.8821290135383606
1578093324.0,24.39545681691777,123.75363246226287,0.9692134857177734
1578093325.0,24.395456714918243,123.75363236095494,1.0550577640533447
1578093326.0,24.395456681064022,123.7536322158121,1.1384397745132446
1578093327.0,24.395456718066107,123.75363202646801,1.218410611152649
1578093328.0,24.395456827667335,123.75363179485856,1.2943742275238037
1578093329.0,24.395457010199305,123.75363152485492,1.3660975694656372
1578093330.0,24.395457263914878,123.7536312222325,1.4336538314819336
1578093331.0,24.39545758484016,123.75363089402096,1.4973115921020508
1578093332.0,24.395457967471206,123.75363054749891,1.5574616193771362
1578093333.0,24.395458405572093,123.7536301895587,1.6146084070205688
1578093334.0,24.395458892540432,123.75362982620506,1.669327974319458
1578093335.0,24.395459421496817,123.7536294620211,1.7221941947937012
1578093336.0,24.39545998542406,123.75362910014168,1.7737348079681396
1578093337.0,24.395460577493264,123.75362874258977,1.8244158029556274
1578093338.0,24.395461191162976,123.75362839058901,1.8746346235275269
1578093339.0,24.39546181987093,123.75362804491992,1.9247276782989502
1578093340.0,24.395462456544323,123.75362770627342,1.9749847650527954
1578093341.0,24.395463093073243,123.75362737560485,2.0256364345550537
1578093342.0,24.39546372004297,123.75362705422737,2.0768399238586426
1578093343.0,24.395464327399885,123.75362674307573,2.1286461353302
1578093344.0,24.395464905756825,123.75362644183261,2.1809334754943848
